destination,city,region,type,activities,budget_category,best_season,rating,popularity_score,description
Jaigarh Fort,Jaipur,west,heritage,heritage,low,winter,4.5,98.0,"Jaigarh Fort is a heritage destination in rajasthan known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Lake Pichola,Jaipur,west,wildlife,wildlife,low,winter,4.6,90.0,"Lake Pichola is a wildlife destination in rajasthan known for safari,photography,nature. It is ideal for history and cultural lover"
Sadda Pind,Amritsar,north,heritage,heritage,luxury,winter,4.3,86.0,"Sadda Pind is a heritage destination in punjab known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Gobind Garh Fort,Kala Ghanupur,north,heritage,heritage,high,winter,4.3,53.0,"Gobind Garh Fort is a heritage destination in punjab known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Shri Durgiana Temple,Amritsar,north,religious,religious,low,all,4.7,57.0,"Shri Durgiana Temple is a religious destination in punjab known for temple,spiritual,peace. It is ideal for spiritual seekers"
Shree Harminder Sahib Gurudwara,Amritsar,north,religious,religious,low,all,4.9,51.0,"Shree Harminder Sahib Gurudwara is a religious destination in punjab known for temple,spiritual,peace. It is ideal for spiritual seekers"
The Partition Museum,Amritsar,north,city,heritage,medium,all,4.6,69.0,"The Partition Museum is a city destination in punjab known for exploration,local experience. It is ideal for explorers and tourists"
Golden Temple (Harmandir Sahib),Amritsar,north,religious,religious,low,all,4.9,57.0,"Golden Temple (Harmandir Sahib) is a religious destination in punjab known for temple,spiritual,peace. It is ideal for spiritual seekers"
Jallianwala Bagh,Amritsar,north,heritage,heritage,low,winter,4.8,82.0,"Jallianwala Bagh is a heritage destination in punjab known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Wagah Border,Amritsar,north,adventure,adventure,low,summer,4.8,57.0,"Wagah Border is a adventure destination in punjab known for trekking,rafting,paragliding. It is ideal for adventure lover"
 Japanese Garden,Mei Khurd,north,heritage,wildlife,low,winter,4.3,65.0," Japanese Garden is a heritage destination in punjab known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Sector 17 Market,Chandigarh,north,city,shopping,low,all,4.4,63.0,"Sector 17 Market is a city destination in punjab known for exploration,local experience. It is ideal for explorers and tourists"
ISKON temple,Chandigarh,north,religious,religious,low,all,4.8,58.0,"ISKON temple is a religious destination in punjab known for temple,spiritual,peace. It is ideal for spiritual seekers"
Terraced garden,Chandigarh,north,wildlife,wildlife,low,winter,4.5,61.0,"Terraced garden is a wildlife destination in punjab known for safari,photography,nature. It is ideal for history and cultural lover"
Government museum & Art gallery,Ditupur Faqiran,north,city,heritage,medium,all,4.4,67.0,"Government museum & Art gallery is a city destination in punjab known for exploration,local experience. It is ideal for explorers and tourists"
Sukhna Lake,Chennai,north,wildlife,wildlife,low,winter,4.6,94.0,"Sukhna Lake is a wildlife destination in punjab known for safari,photography,nature. It is ideal for history and cultural lover"
Rock Garden,Chandigarh,north,city,exploration,low,all,4.5,62.0,"Rock Garden is a city destination in punjab known for exploration,local experience. It is ideal for explorers and tourists"
Shree Krishna Swamy Temple,Kaimbwala,south,religious,religious,low,all,4.6,77.0,"Shree Krishna Swamy Temple is a religious destination in kerala known for temple,spiritual,peace. It is ideal for spiritual seekers"
Marari Beach,Alappuzha,south,wildlife,beach,low,winter,4.5,78.0,"Marari Beach is a wildlife destination in kerala known for safari,photography,nature. It is ideal for history and cultural lover"
International Coi Museum,Alappuzha,south,city,heritage,low,all,4.3,55.0,"International Coi Museum is a city destination in kerala known for exploration,local experience. It is ideal for explorers and tourists"
Alleppey Backwater,Alappuzha,south,wildlife,wildlife,low,winter,4.6,74.0,"Alleppey Backwater is a wildlife destination in kerala known for safari,photography,nature. It is ideal for history and cultural lover"
Chakkulathukavu Sree Bhagwathi Temple,Alappuzha,south,religious,religious,low,all,4.3,62.0,"Chakkulathukavu Sree Bhagwathi Temple is a religious destination in kerala known for temple,spiritual,peace. It is ideal for spiritual seekers"
Mannarasala Sree Nagaraja Temple,Neeretupuram,south,religious,religious,low,all,4.3,53.0,"Mannarasala Sree Nagaraja Temple is a religious destination in kerala known for temple,spiritual,peace. It is ideal for spiritual seekers"
St.Andrew's Basilica,Haripad,south,religious,religious,low,all,4.7,63.0,"St.Andrew's Basilica is a religious destination in kerala known for temple,spiritual,peace. It is ideal for spiritual seekers"
Alappuzha Beach,Arthunkal,south,wildlife,beach,low,winter,4.5,67.0,"Alappuzha Beach is a wildlife destination in kerala known for safari,photography,nature. It is ideal for history and cultural lover"
Pothamedu View Point,Alappuzha,south,city,exploration,low,all,4.2,79.0,"Pothamedu View Point is a city destination in kerala known for exploration,local experience. It is ideal for explorers and tourists"
Eravikulam National Park,Pothamedu,south,wildlife,wildlife,medium,winter,4.3,82.0,"Eravikulam National Park is a wildlife destination in kerala known for safari,photography,nature. It is ideal for history and cultural lover"
Munnar Tea Gardens,Mattupetty,south,wildlife,wildlife,low,winter,4.3,67.0,"Munnar Tea Gardens is a wildlife destination in kerala known for safari,photography,nature. It is ideal for history and cultural lover"
LuLu International Shopping Mall,Pothamedu,south,city,shopping,low,all,4.6,81.0,"LuLu International Shopping Mall is a city destination in kerala known for exploration,local experience. It is ideal for explorers and tourists"
National Shrine Basilica of our Lady of Ransom,Kalamassery,south,religious,religious,low,all,4.8,79.0,"National Shrine Basilica of our Lady of Ransom is a religious destination in kerala known for temple,spiritual,peace. It is ideal for spiritual seekers"
Mattancherry Palace,Kochi,south,heritage,heritage,low,winter,4.2,85.0,"Mattancherry Palace is a heritage destination in kerala known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Marine Drive Kochi,Kochi,south,city,exploration,low,all,4.3,55.0,"Marine Drive Kochi is a city destination in kerala known for exploration,local experience. It is ideal for explorers and tourists"
Hill Palace Museum,Ernakulam,south,heritage,heritage,low,winter,4.3,86.0,"Hill Palace Museum is a heritage destination in kerala known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Cherai Beach,Thrippunithura,south,wildlife,beach,low,winter,4.0,98.0,"Cherai Beach is a wildlife destination in kerala known for safari,photography,nature. It is ideal for history and cultural lover"
Fort Kochi,Munambam,south,heritage,heritage,low,winter,4.4,88.0,"Fort Kochi is a heritage destination in kerala known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Attukal Bhagwathy Temple,Kochi,south,religious,religious,low,all,4.6,53.0,"Attukal Bhagwathy Temple is a religious destination in kerala known for temple,spiritual,peace. It is ideal for spiritual seekers"
Kovalam Beach,Thiruvananthapuram,south,wildlife,beach,low,winter,4.4,94.0,"Kovalam Beach is a wildlife destination in kerala known for safari,photography,nature. It is ideal for history and cultural lover"
Thiruvanthapuram Zoological park,Thiruvananthapuram,south,wildlife,wildlife,high,winter,4.2,51.0,"Thiruvanthapuram Zoological park is a wildlife destination in kerala known for safari,photography,nature. It is ideal for history and cultural lover"
Kanakakkunnu Palace,Thiruvananthapuram,south,heritage,heritage,low,winter,4.5,68.0,"Kanakakkunnu Palace is a heritage destination in kerala known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Veli Lake Tourist Village,Thiruvananthapuram,south,city,photography,low,all,4.2,60.0,"Veli Lake Tourist Village is a city destination in kerala known for exploration,local experience. It is ideal for explorers and tourists"
Napier Museum,Thiruvananthapuram,south,city,heritage,medium,all,4.4,55.0,"Napier Museum is a city destination in kerala known for exploration,local experience. It is ideal for explorers and tourists"
Padmanabhaswamy Temple,Thiruvananthapuram,south,religious,religious,low,all,4.7,83.0,"Padmanabhaswamy Temple is a religious destination in kerala known for temple,spiritual,peace. It is ideal for spiritual seekers"
HiLITE mall,Thiruvananthapuram,south,city,shopping,low,all,4.2,77.0,"HiLITE mall is a city destination in kerala known for exploration,local experience. It is ideal for explorers and tourists"
Mittayi Theravu -SM Street,Kozhikode,south,city,shopping,low,all,4.5,73.0,"Mittayi Theravu -SM Street is a city destination in kerala known for exploration,local experience. It is ideal for explorers and tourists"
Tali Maha Shiva Kshetram,Kozhikode,south,religious,religious,low,all,4.7,63.0,"Tali Maha Shiva Kshetram is a religious destination in kerala known for temple,spiritual,peace. It is ideal for spiritual seekers"
Sargaalaya Kerala Arts& Crafts village,Kozhikode,south,city,exploration,medium,all,4.3,70.0,"Sargaalaya Kerala Arts& Crafts village is a city destination in kerala known for exploration,local experience. It is ideal for explorers and tourists"
Kozhikode Beach,Iringal,south,wildlife,beach,low,winter,3.9,85.0,"Kozhikode Beach is a wildlife destination in kerala known for safari,photography,nature. It is ideal for history and cultural lover"
Lakkidi View point,Kozhikode,south,city,exploration,low,all,4.5,58.0,"Lakkidi View point is a city destination in kerala known for exploration,local experience. It is ideal for explorers and tourists"
Edakkal Caves,Adivaram,south,wildlife,wildlife,medium,winter,4.1,90.0,"Edakkal Caves is a wildlife destination in kerala known for safari,photography,nature. It is ideal for history and cultural lover"
"Karapuzha Dam, adventure park, garden",Wayanad,south,adventure,wildlife,low,summer,4.4,76.0,"Karapuzha Dam, adventure park, garden is a adventure destination in kerala known for trekking,rafting,paragliding. It is ideal for adventure lover"
Wayanad Wildlife Sanctuary,Vythiri,south,wildlife,wildlife,high,winter,4.5,75.0,"Wayanad Wildlife Sanctuary is a wildlife destination in kerala known for safari,photography,nature. It is ideal for history and cultural lover"
Muzhappilangad Beach,Muthanga,south,wildlife,beach,low,winter,4.4,78.0,"Muzhappilangad Beach is a wildlife destination in kerala known for safari,photography,nature. It is ideal for history and cultural lover"
Parassini Madappura Sree Muthappan Temple,Muzhappilangad,south,religious,religious,low,all,4.4,63.0,"Parassini Madappura Sree Muthappan Temple is a religious destination in kerala known for temple,spiritual,peace. It is ideal for spiritual seekers"
St. Angelo Fort,Anthoor,south,heritage,heritage,low,winter,4.4,67.0,"St. Angelo Fort is a heritage destination in kerala known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Kerala Folklore Museum,Kannur,south,heritage,heritage,medium,winter,4.4,65.0,"Kerala Folklore Museum is a heritage destination in kerala known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Wonderla Amusement Park,Ernakulam,south,adventure,wildlife,luxury,summer,4.6,70.0,"Wonderla Amusement Park is a adventure destination in kerala known for trekking,rafting,paragliding. It is ideal for adventure lover"
Shri Chamundeshwari Temple,Vajarahalli,south,religious,religious,low,all,4.7,67.0,"Shri Chamundeshwari Temple is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers"
Chamundi Betta,Chamundipuram,south,wildlife,wildlife,low,winter,4.7,80.0,"Chamundi Betta is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover"
Lokaranjan Aqua World Underwater zoo,Chamundipuram,south,wildlife,wildlife,high,winter,4.6,76.0,"Lokaranjan Aqua World Underwater zoo is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover"
Mysuru Railway museum,Mysuru,south,city,heritage,medium,all,4.4,66.0,"Mysuru Railway museum is a city destination in karnataka known for exploration,local experience. It is ideal for explorers and tourists"
"Karanji Lake, boating, bird sanctuary",Mysuru,south,wildlife,wildlife,low,winter,4.0,73.0,"Karanji Lake, boating, bird sanctuary is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover"
Mysore Palace,Mysuru,south,heritage,heritage,low,winter,4.6,92.0,"Mysore Palace is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Virupaksha Temple,Mysuru,south,religious,religious,low,all,4.7,66.0,"Virupaksha Temple is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers"
Stone Chariot,Hampi,south,heritage,heritage,low,winter,4.8,60.0,"Stone Chariot is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Mathanga Hill,Hampi,south,wildlife,wildlife,low,winter,4.8,85.0,"Mathanga Hill is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover"
Shree Vijaya Vitthala Temple,Hampi,south,religious,religious,low,all,4.8,69.0,"Shree Vijaya Vitthala Temple is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers"
Group of monuments at Hampi,Hampi,south,heritage,heritage,low,winter,4.7,97.0,"Group of monuments at Hampi is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Lotus Mahal,Hampi,south,heritage,heritage,medium,winter,4.6,80.0,"Lotus Mahal is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Ajanadri Hills,Kamalapura,south,adventure,adventure,low,summer,4.7,63.0,"Ajanadri Hills is a adventure destination in karnataka known for trekking,rafting,paragliding. It is ideal for adventure lover"
Raja's Seat garden,Hanumanahalli,south,city,beach,low,all,4.4,77.0,"Raja's Seat garden is a city destination in karnataka known for exploration,local experience. It is ideal for explorers and tourists"
Nagarhole Tiger Reserve,Madikeri,south,wildlife,wildlife,medium,winter,4.4,66.0,"Nagarhole Tiger Reserve is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover"
Mallalli Falls,Coorg,south,wildlife,wildlife,low,winter,4.6,84.0,"Mallalli Falls is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover"
Brahmagiri Wildlife Sanctuary,Heggadahalli,south,wildlife,wildlife,low,winter,4.4,82.0,"Brahmagiri Wildlife Sanctuary is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover"
Dubare Elephant camp and bathing spot,Coorg,south,wildlife,wildlife,low,winter,4.1,81.0,"Dubare Elephant camp and bathing spot is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover"
Coorg river rafting Barapole,Virupakshapura,south,adventure,adventure,low,summer,4.1,69.0,"Coorg river rafting Barapole is a adventure destination in karnataka known for trekking,rafting,paragliding. It is ideal for adventure lover"
Namdroling Monastery,Arekadu,south,religious,religious,low,all,4.5,78.0,"Namdroling Monastery is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers"
Iruppu Falls-Brahmagiri,Doddahosuru,south,wildlife,wildlife,low,winter,4.1,80.0,"Iruppu Falls-Brahmagiri is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover"
Bhadra wildlife sanctuary,ಪೂಜೆಕಲ್,south,wildlife,wildlife,medium,winter,4.4,66.0,"Bhadra wildlife sanctuary is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover"
Shri Jagadguru Shankaracharya Peeta,Lakkavalli,south,religious,religious,low,all,4.8,68.0,"Shri Jagadguru Shankaracharya Peeta is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers"
 Shri Annapurneshwari Devi Temple,Sringeri,south,religious,religious,low,all,4.8,70.0," Shri Annapurneshwari Devi Temple is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers"
Sri Sharadamba Temple ,Mundiyeruma,south,religious,religious,low,all,4.8,90.0,"Sri Sharadamba Temple  is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers"
Kallathigiri Falls,Sringeri,south,wildlife,wildlife,low,winter,4.2,85.0,"Kallathigiri Falls is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover"
Baba Budan Giri hills,Kallattipura,south,wildlife,wildlife,low,winter,4.5,95.0,"Baba Budan Giri hills is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover"
Mullayanagiri Betta,Attigundi,south,wildlife,wildlife,low,winter,4.5,58.0,"Mullayanagiri Betta is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover"
Sri Bhootanaatha Gudi,Chikkamagaluru,south,religious,religious,low,all,4.7,98.0,"Sri Bhootanaatha Gudi is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers"
Banashankari Devi Temple,Badami,south,religious,religious,low,all,4.7,85.0,"Banashankari Devi Temple is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers"
Badami Cave Temples,Badami,south,religious,religious,low,all,4.6,63.0,"Badami Cave Temples is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers"
Kadri Park,Mangaluru,south,city,wildlife,low,all,4.3,89.0,"Kadri Park is a city destination in karnataka known for exploration,local experience. It is ideal for explorers and tourists"
City Center mall,Mangaluru,south,city,shopping,low,all,4.4,67.0,"City Center mall is a city destination in karnataka known for exploration,local experience. It is ideal for explorers and tourists"
Kukke Shree Subrahmanya Temple,Subramanya,south,religious,religious,low,all,4.6,64.0,"Kukke Shree Subrahmanya Temple is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers"
Dharmasthala Temple,Dharmasthala,south,religious,religious,low,all,4.8,79.0,"Dharmasthala Temple is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers"
Pilikula Nisargadhama zoo,Vamanjoor,south,wildlife,religious,medium,winter,4.4,82.0,"Pilikula Nisargadhama zoo is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover"
Panambur Beach,Panambur,south,wildlife,beach,low,winter,4.5,70.0,"Panambur Beach is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover"
Fort Bijapur,Vijayapura,south,heritage,heritage,medium,winter,4.3,86.0,"Fort Bijapur is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Jamiya Masjid,Vijayapura,south,heritage,religious,low,winter,4.2,88.0,"Jamiya Masjid is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Shivgiri Temple,Ainapura,south,religious,religious,low,all,4.5,53.0,"Shivgiri Temple is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers"
Gol Gumbaz museum,Vijayapura,south,heritage,heritage,low,winter,4.5,87.0,"Gol Gumbaz museum is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Phoenix Marketcity Pune,Mumbai,west,city,shopping,low,all,4.5,78.0,"Phoenix Marketcity Pune is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
Chatushrungi Devi Temple,Pune District,west,religious,religious,low,all,4.6,87.0,"Chatushrungi Devi Temple is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers"
Pune-Okayama Friendship Garden,Anandnagar,west,city,exploration,low,all,4.5,92.0,"Pune-Okayama Friendship Garden is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
Raja Dinkar Kelkar Museum,Mumbai,west,city,heritage,high,all,4.4,77.0,"Raja Dinkar Kelkar Museum is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
Sinhagad Fort,Mumbai,west,heritage,heritage,low,winter,4.6,87.0,"Sinhagad Fort is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Rajiv Gandhi zoo,Pune District,west,wildlife,wildlife,low,winter,4.1,83.0,"Rajiv Gandhi zoo is a wildlife destination in maharashtra known for safari,photography,nature. It is ideal for history and cultural lover"
 Dagadusheth Halwai Ganapati temple,Mumbai,west,religious,religious,low,all,4.8,94.0," Dagadusheth Halwai Ganapati temple is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers"
Shaniwar Wada,Pune District,west,heritage,heritage,medium,winter,4.4,68.0,"Shaniwar Wada is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Prozone Mall,Chinnavedampatti,west,city,shopping,low,all,4.3,54.0,"Prozone Mall is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
Bibi ka Maqbara ,Chhatrapati Sambhajinagar,west,heritage,heritage,low,winter,4.2,80.0,"Bibi ka Maqbara  is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Ellora Caves,Ellora,west,heritage,heritage,low,winter,4.7,59.0,"Ellora Caves is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Daulatabad Fort,Daulatabad,west,heritage,heritage,low,winter,4.8,51.0,"Daulatabad Fort is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Ajanta Caves,Phardapur,west,heritage,heritage,low,winter,4.6,80.0,"Ajanta Caves is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Trimbakeshwar Jyotirling Mandir,Trimbak,west,religious,religious,low,all,4.6,57.0,"Trimbakeshwar Jyotirling Mandir is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers"
Pandav Leni caves,Nashik,west,heritage,heritage,low,winter,4.6,61.0,"Pandav Leni caves is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Water Sports in Alibaug,Alibag,west,adventure,adventure,low,summer,4.9,77.0,"Water Sports in Alibaug is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover"
Kolaba Fort,Alibag,west,heritage,heritage,low,winter,4.2,90.0,"Kolaba Fort is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Alibaug Beach,Alibag,west,wildlife,beach,low,winter,4.2,63.0,"Alibaug Beach is a wildlife destination in maharashtra known for safari,photography,nature. It is ideal for history and cultural lover"
Jaigad Fort,Jaigarh,west,heritage,heritage,low,winter,4.1,71.0,"Jaigad Fort is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Tilak Ali Museum,Ratnagiri,west,city,heritage,low,all,4.6,85.0,"Tilak Ali Museum is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
Ganapatipule Temple,Ganpatipule,west,religious,religious,low,all,4.7,69.0,"Ganapatipule Temple is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers"
Umred Karhandla Wildlife Sanctuary,Khapari,west,wildlife,wildlife,medium,winter,4.2,88.0,"Umred Karhandla Wildlife Sanctuary is a wildlife destination in maharashtra known for safari,photography,nature. It is ideal for history and cultural lover"
Tadoba Andhari Tiger Project,Chandrapur,west,wildlife,wildlife,low,winter,4.5,84.0,"Tadoba Andhari Tiger Project is a wildlife destination in maharashtra known for safari,photography,nature. It is ideal for history and cultural lover"
Khindsi Lake water sports,Gudegaon,west,adventure,photography,low,summer,4.0,62.0,"Khindsi Lake water sports is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover"
Khindsi Lake,Gudegaon,west,wildlife,wildlife,low,winter,4.0,75.0,"Khindsi Lake is a wildlife destination in maharashtra known for safari,photography,nature. It is ideal for history and cultural lover"
Ambazari Lake & Garden,Nagpur,west,wildlife,wildlife,low,winter,4.0,85.0,"Ambazari Lake & Garden is a wildlife destination in maharashtra known for safari,photography,nature. It is ideal for history and cultural lover"
Raman Science Centre,Nagpur,west,city,exploration,low,all,4.5,86.0,"Raman Science Centre is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
Krazy Castle Aqua Park,Nagpur,west,adventure,wildlife,high,summer,4.0,66.0,"Krazy Castle Aqua Park is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover"
Deekshabhoomi,Nagpur,west,heritage,heritage,low,winter,4.5,86.0,"Deekshabhoomi is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Chhatrapati Shahu Palace,Kolhapur,west,heritage,heritage,low,winter,4.5,61.0,"Chhatrapati Shahu Palace is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Dajipur Wildlife Sanctuary,Phondaghat,west,wildlife,wildlife,medium,winter,4.4,90.0,"Dajipur Wildlife Sanctuary is a wildlife destination in maharashtra known for safari,photography,nature. It is ideal for history and cultural lover"
Shri Ambabai Temple,Kagal,west,religious,religious,low,all,4.8,77.0,"Shri Ambabai Temple is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers"
Della Adventure Park,Lonavala,west,adventure,wildlife,luxury,summer,4.3,73.0,"Della Adventure Park is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover"
Karla Caves,Karla,west,heritage,heritage,low,winter,4.4,91.0,"Karla Caves is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Imagicaa amusement park,Vadwal,west,adventure,wildlife,luxury,summer,4.4,56.0,"Imagicaa amusement park is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover"
Lions Point ,Lonavala,west,city,exploration,low,all,4.4,65.0,"Lions Point  is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
Ekvira Devi Temple,Karla,west,religious,religious,low,all,4.7,73.0,"Ekvira Devi Temple is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers"
Tarkarli Beach,Tarkarli,west,wildlife,beach,low,winter,4.6,76.0,"Tarkarli Beach is a wildlife destination in maharashtra known for safari,photography,nature. It is ideal for history and cultural lover"
Kaas Plateau,Satara,west,wildlife,wildlife,high,winter,4.4,68.0,"Kaas Plateau is a wildlife destination in maharashtra known for safari,photography,nature. It is ideal for history and cultural lover"
Vasota Fort Jungle trekking and Camping,Satara,west,adventure,trekking,luxury,summer,4.7,93.0,"Vasota Fort Jungle trekking and Camping is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover"
Thoseghar Waterfall,Satara,west,wildlife,wildlife,low,winter,4.5,73.0,"Thoseghar Waterfall is a wildlife destination in maharashtra known for safari,photography,nature. It is ideal for history and cultural lover"
Ajinkyatara Fort,Satara,west,heritage,heritage,low,winter,4.5,71.0,"Ajinkyatara Fort is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Uttar Chidambaram Nataraj mandir,Satara,west,religious,religious,low,all,4.6,85.0,"Uttar Chidambaram Nataraj mandir is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers"
Sajjangad Fort,Satara,west,heritage,heritage,low,winter,4.6,77.0,"Sajjangad Fort is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Pratapgad Fort,Satara,west,heritage,heritage,low,winter,4.5,71.0,"Pratapgad Fort is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Echo Point,Raigad,west,city,exploration,low,all,4.4,66.0,"Echo Point is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
Dodhani Waterfalls,Matheran,west,wildlife,wildlife,low,winter,4.6,74.0,"Dodhani Waterfalls is a wildlife destination in maharashtra known for safari,photography,nature. It is ideal for history and cultural lover"
Dodhani Waterfalls rappelling/trek,Matheran,west,adventure,trekking,luxury,summer,4.6,69.0,"Dodhani Waterfalls rappelling/trek is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover"
Chanderi Caves trek,Raigad,west,adventure,trekking,luxury,summer,4.5,56.0,"Chanderi Caves trek is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover"
Irshalgad Fort,Raigad,west,heritage,heritage,medium,winter,4.6,95.0,"Irshalgad Fort is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers"
Neral-Matheran Toy Train,Neral,west,city,exploration,medium,all,4.5,84.0,"Neral-Matheran Toy Train is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists"
Kalavantin Pinnacle fortress and trek,Raigad,west,adventure,trekking,medium,summer,4.7,99.0,"Kalavantin Pinnacle fortress and trek is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover"
Ambarnath Shiv Temple,Ambernath,west,religious,religious,low,all,4.2,56.0,"Ambarnath Shiv Temple is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers"
Ellora Caves,Ellora,west,heritage,heritage,low,winter,4.7,92.0,"Ellora Caves is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers"
