state,destination,latitude,longitude,interest,region,type,activities,budget_category,best_season,rating,popularity_score,description,score
kerala,Chakkulathukavu Sree Bhagwathi Temple,9.5238612,76.3567633,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.3,62.0,"Chakkulathukavu Sree Bhagwathi Temple is a religious destination in kerala known for temple,spiritual,peace. It is ideal for spiritual seekers",2.1
kerala,Mannarasala Sree Nagaraja Temple,9.3669421,76.5141883,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.3,53.0,"Mannarasala Sree Nagaraja Temple is a religious destination in kerala known for temple,spiritual,peace. It is ideal for spiritual seekers",1.92
kerala,St.Andrew's Basilica,9.2896809,76.4456832,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.7,63.0,"St.Andrew's Basilica is a religious destination in kerala known for temple,spiritual,peace. It is ideal for spiritual seekers",2.2
kerala,Alappuzha Beach,9.6611287,76.3002896,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",low,winter,4.5,67.0,"Alappuzha Beach is a wildlife destination in kerala known for safari,photography,nature. It is ideal for history and cultural lover",2.24
kerala,Pothamedu View Point,9.4927482,76.3177759,sightseeing & exploration,South,city,"exploration,local experience",low,All,4.2,79.0,"Pothamedu View Point is a city destination in kerala known for exploration,local experience. It is ideal for explorers and tourists",2.42
kerala,Eravikulam National Park,10.0596918,77.064076,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",medium,winter,4.3,82.0,"Eravikulam National Park is a wildlife destination in kerala known for safari,photography,nature. It is ideal for history and cultural lover",2.5
kerala,Mattupetty Dam,10.1453912,77.0366346,sightseeing & exploration,South,city,"exploration,local experience",low,All,4.2,50.0,"Mattupetty Dam is a city destination in kerala known for exploration,local experience. It is ideal for explorers and tourists",1.84
kerala,Munnar Tea Gardens,10.1063316,77.1238055,"natural landscapes & wildlife, sightseeing & exploration",South,wildlife,"safari,photography,nature",low,winter,4.3,67.0,"Munnar Tea Gardens is a wildlife destination in kerala known for safari,photography,nature. It is ideal for history and cultural lover",2.2
kerala,LuLu International Shopping Mall,10.0578407,77.0660813,shopping & markets,South,city,"exploration,local experience",low,All,4.6,81.0,"LuLu International Shopping Mall is a city destination in kerala known for exploration,local experience. It is ideal for explorers and tourists",2.54
kerala,National Shrine Basilica of our Lady of Ransom,10.0271483,76.3081856,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.8,79.0,"National Shrine Basilica of our Lady of Ransom is a religious destination in kerala known for temple,spiritual,peace. It is ideal for spiritual seekers",2.54
kerala,Mattancherry Palace,9.9583,76.2594,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",low,winter,4.2,85.0,"Mattancherry Palace is a heritage destination in kerala known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.54
kerala,Marine Drive Kochi,9.9582773,76.2593508,sightseeing & exploration,South,city,"exploration,local experience",low,All,4.3,55.0,"Marine Drive Kochi is a city destination in kerala known for exploration,local experience. It is ideal for explorers and tourists",1.96
kerala,Chottanikara Bhagvathy Temple,9.9771685,76.2773228,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,5.0,53.0,"Chottanikara Bhagvathy Temple is a religious destination in kerala known for temple,spiritual,peace. It is ideal for spiritual seekers",2.06
kerala,Hill Palace Museum,9.9331743,76.3905714,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",low,winter,4.3,86.0,"Hill Palace Museum is a heritage destination in kerala known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.58
kerala,Cherai Beach,9.952749,76.3638016,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",low,winter,4.0,98.0,"Cherai Beach is a wildlife destination in kerala known for safari,photography,nature. It is ideal for history and cultural lover",2.76
kerala,Fort Kochi,10.1415953,76.1782833,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",low,winter,4.4,88.0,"Fort Kochi is a heritage destination in kerala known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.64
kerala,Attukal Bhagwathy Temple,9.9657787,76.2421147,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.6,53.0,"Attukal Bhagwathy Temple is a religious destination in kerala known for temple,spiritual,peace. It is ideal for spiritual seekers",1.98
kerala,Kovalam Beach,8.4698623,76.9554858,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",low,winter,4.4,94.0,"Kovalam Beach is a wildlife destination in kerala known for safari,photography,nature. It is ideal for history and cultural lover",2.7600000000000002
kerala,Thiruvanthapuram Zoological park,8.3837841,76.9804176,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",high,winter,4.2,51.0,"Thiruvanthapuram Zoological park is a wildlife destination in kerala known for safari,photography,nature. It is ideal for history and cultural lover",3.86
kerala,Kanakakkunnu Palace,8.5105939,76.9549377,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",low,winter,4.5,68.0,"Kanakakkunnu Palace is a heritage destination in kerala known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.2600000000000002
kerala,Veli Lake Tourist Village,8.5107183,76.9581858,sightseeing & exploration,South,city,"exploration,local experience",low,All,4.2,60.0,"Veli Lake Tourist Village is a city destination in kerala known for exploration,local experience. It is ideal for explorers and tourists",2.04
kerala,Napier Museum,8.5080206,76.8886702,"arts, science & literature attractions",South,city,"exploration,local experience",medium,All,4.4,55.0,"Napier Museum is a city destination in kerala known for exploration,local experience. It is ideal for explorers and tourists",1.9800000000000002
kerala,Padmanabhaswamy Temple,8.5089657,76.955072,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.7,83.0,"Padmanabhaswamy Temple is a religious destination in kerala known for temple,spiritual,peace. It is ideal for spiritual seekers",2.6
kerala,HiLITE mall,8.4827779,76.9435906,shopping & markets,South,city,"exploration,local experience",low,All,4.2,77.0,"HiLITE mall is a city destination in kerala known for exploration,local experience. It is ideal for explorers and tourists",2.38
kerala,Mittayi Theravu -SM Street,11.2486583,75.833473,shopping & markets,South,city,"exploration,local experience",low,All,4.5,73.0,"Mittayi Theravu -SM Street is a city destination in kerala known for exploration,local experience. It is ideal for explorers and tourists",2.36
kerala,Tali Maha Shiva Kshetram,11.2507622,75.7815607,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.7,63.0,"Tali Maha Shiva Kshetram is a religious destination in kerala known for temple,spiritual,peace. It is ideal for spiritual seekers",2.2
kerala,Sargaalaya Kerala Arts& Crafts village,11.2479375,75.7875625,"arts, science & literature attractions",South,city,"exploration,local experience",medium,All,4.3,70.0,"Sargaalaya Kerala Arts& Crafts village is a city destination in kerala known for exploration,local experience. It is ideal for explorers and tourists",2.2600000000000002
kerala,Kozhikode Beach,11.5601151,75.6058617,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",low,winter,3.9,85.0,"Kozhikode Beach is a wildlife destination in kerala known for safari,photography,nature. It is ideal for history and cultural lover",2.48
kerala,Lakkidi View point,11.2626228,75.7673095,sightseeing & exploration,South,city,"exploration,local experience",low,All,4.5,58.0,"Lakkidi View point is a city destination in kerala known for exploration,local experience. It is ideal for explorers and tourists",2.06
kerala,Edakkal Caves,11.5121995,76.0189339,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",medium,winter,4.1,90.0,"Edakkal Caves is a wildlife destination in kerala known for safari,photography,nature. It is ideal for history and cultural lover",2.62
kerala,"Karapuzha Dam, adventure park, garden",11.6268407,76.234269,adventure & outdoor activities,South,adventure,"trekking,rafting,paragliding",low,summer,4.4,76.0,"Karapuzha Dam, adventure park, garden is a adventure destination in kerala known for trekking,rafting,paragliding. It is ideal for adventure lover",10.4
kerala,Wayanad Wildlife Sanctuary,11.6182901,76.1678346,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",high,winter,4.5,75.0,"Wayanad Wildlife Sanctuary is a wildlife destination in kerala known for safari,photography,nature. It is ideal for history and cultural lover",4.4
kerala,Muzhappilangad Beach,11.6716011,76.3686564,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",low,winter,4.4,78.0,"Muzhappilangad Beach is a wildlife destination in kerala known for safari,photography,nature. It is ideal for history and cultural lover",2.4400000000000004
kerala,Parassini Madappura Sree Muthappan Temple,11.7932037,75.4441073,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.4,63.0,"Parassini Madappura Sree Muthappan Temple is a religious destination in kerala known for temple,spiritual,peace. It is ideal for spiritual seekers",2.14
kerala,St. Angelo Fort,11.9824702,75.402109,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",low,winter,4.4,67.0,"St. Angelo Fort is a heritage destination in kerala known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.22
kerala,Kerala Folklore Museum,11.8541418,75.3714455,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",medium,winter,4.4,65.0,"Kerala Folklore Museum is a heritage destination in kerala known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.18
kerala,Wonderla Amusement Park,9.9330107,76.2989787,adventure & outdoor activities,South,adventure,"trekking,rafting,paragliding",luxury,summer,4.6,70.0,"Wonderla Amusement Park is a adventure destination in kerala known for trekking,rafting,paragliding. It is ideal for adventure lover",10.32
karnataka,Shri Chamundeshwari Temple,12.8349095,77.4009409,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.7,67.0,"Shri Chamundeshwari Temple is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers",2.2800000000000002
karnataka,Chamundi Betta,12.2725036,76.6707154,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",low,winter,4.7,80.0,"Chamundi Betta is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover",2.54
karnataka,Lokaranjan Aqua World Underwater zoo,12.2731672,76.6707435,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",high,winter,4.6,76.0,"Lokaranjan Aqua World Underwater zoo is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover",4.4399999999999995
karnataka,Mysuru Railway museum,12.304807,76.6638086,"arts, science & literature attractions",South,city,"exploration,local experience",medium,All,4.4,66.0,"Mysuru Railway museum is a city destination in karnataka known for exploration,local experience. It is ideal for explorers and tourists",2.2
karnataka,"Karanji Lake, boating, bird sanctuary",12.3163393,76.643323,"natural landscapes & wildlife, adventure & outdoor activities",South,wildlife,"safari,photography,nature",low,winter,4.0,73.0,"Karanji Lake, boating, bird sanctuary is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover",2.26
karnataka,Mysore Palace,12.302778,76.673611,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",low,winter,4.6,92.0,"Mysore Palace is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.76
karnataka,Virupaksha Temple,12.305163,76.6551749,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.7,66.0,"Virupaksha Temple is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers",2.2600000000000002
karnataka,Stone Chariot,15.3351333,76.4586529,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",low,winter,4.8,60.0,"Stone Chariot is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.16
karnataka,Mathanga Hill,15.3316,76.4682,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",low,winter,4.8,85.0,"Mathanga Hill is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover",2.66
karnataka,Shree Vijaya Vitthala Temple,15.3316387,76.4682381,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.8,69.0,"Shree Vijaya Vitthala Temple is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers",2.34
karnataka,Group of monuments at Hampi,15.3423099,76.475235,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",low,winter,4.7,97.0,"Group of monuments at Hampi is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.88
karnataka,Lotus Mahal,15.3349769,76.4619233,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",medium,winter,4.6,80.0,"Lotus Mahal is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.52
karnataka,Ajanadri Hills,15.3202851,76.4713243,adventure & outdoor activities,South,adventure,"trekking,rafting,paragliding",low,summer,4.7,63.0,"Ajanadri Hills is a adventure destination in karnataka known for trekking,rafting,paragliding. It is ideal for adventure lover",10.2
karnataka,Raja's Seat garden,15.3548385,76.469264,sightseeing & exploration,South,city,"exploration,local experience",low,All,4.4,77.0,"Raja's Seat garden is a city destination in karnataka known for exploration,local experience. It is ideal for explorers and tourists",2.42
karnataka,Nagarhole Tiger Reserve,12.4145674,75.7371014,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",medium,winter,4.4,66.0,"Nagarhole Tiger Reserve is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover",2.2
karnataka,Mallalli Falls,12.0734366,76.1510815,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",low,winter,4.6,84.0,"Mallalli Falls is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover",2.5999999999999996
karnataka,Brahmagiri Wildlife Sanctuary,12.680643,75.723667,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",low,winter,4.4,82.0,"Brahmagiri Wildlife Sanctuary is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover",2.5200000000000005
karnataka,Dubare Elephant camp and bathing spot,12.1726489,75.6440842,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",low,winter,4.1,81.0,"Dubare Elephant camp and bathing spot is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover",2.44
karnataka,Coorg river rafting Barapole,12.371192,75.9051197,adventure & outdoor activities,South,adventure,"trekking,rafting,paragliding",low,summer,4.1,69.0,"Coorg river rafting Barapole is a adventure destination in karnataka known for trekking,rafting,paragliding. It is ideal for adventure lover",10.200000000000001
karnataka,Namdroling Monastery,12.3374942,75.8069082,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.5,78.0,"Namdroling Monastery is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers",2.46
karnataka,Iruppu Falls-Brahmagiri,12.430628,75.9669536,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",low,winter,4.1,80.0,"Iruppu Falls-Brahmagiri is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover",2.42
karnataka,Bhadra wildlife sanctuary,11.9661026,75.9833292,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",medium,winter,4.4,66.0,"Bhadra wildlife sanctuary is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover",2.2
karnataka,Shri Jagadguru Shankaracharya Peeta,13.6948738,75.635227,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.8,68.0,"Shri Jagadguru Shankaracharya Peeta is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers",2.3200000000000003
karnataka, Shri Annapurneshwari Devi Temple,13.4167132,75.2521434,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.8,70.0," Shri Annapurneshwari Devi Temple is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers",2.3600000000000003
karnataka,Sri Sharadamba Temple ,9.8121201,77.1747471,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.8,90.0,"Sri Sharadamba Temple  is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers",2.76
karnataka,Kallathigiri Falls,13.4161397,75.2512712,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",low,winter,4.2,85.0,"Kallathigiri Falls is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover",2.54
karnataka,Baba Budan Giri hills,13.5486112,75.7891482,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",low,winter,4.5,95.0,"Baba Budan Giri hills is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover",2.8000000000000003
karnataka,Mullayanagiri Betta,13.422865,75.7703876,natural landscapes & wildlife,South,wildlife,"safari,photography,nature",low,winter,4.5,58.0,"Mullayanagiri Betta is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover",2.06
karnataka,Sri Bhootanaatha Gudi,13.3908855,75.7213295,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.7,98.0,"Sri Bhootanaatha Gudi is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers",2.9
karnataka,Banashankari Devi Temple,15.9207886,75.6876704,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.7,85.0,"Banashankari Devi Temple is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers",2.64
karnataka,Badami Cave Temples,15.9183365,75.6839686,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.6,63.0,"Badami Cave Temples is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers",2.1799999999999997
karnataka,Kadri Park,12.8889802,74.8562231,sightseeing & exploration,South,city,"exploration,local experience",low,All,4.3,89.0,"Kadri Park is a city destination in karnataka known for exploration,local experience. It is ideal for explorers and tourists",2.64
karnataka,City Center mall,12.8713,74.8428,shopping & markets,South,city,"exploration,local experience",low,All,4.4,67.0,"City Center mall is a city destination in karnataka known for exploration,local experience. It is ideal for explorers and tourists",2.22
karnataka,Kukke Shree Subrahmanya Temple,12.6636275,75.6158479,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.6,64.0,"Kukke Shree Subrahmanya Temple is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers",2.2
karnataka,Dharmasthala Temple,12.9503818,75.3804923,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.8,79.0,"Dharmasthala Temple is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers",2.54
karnataka,Pilikula Nisargadhama zoo,12.9272855,74.8991256,"natural landscapes & wildlife, sightseeing & exploration",South,wildlife,"safari,photography,nature",medium,winter,4.4,82.0,"Pilikula Nisargadhama zoo is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover",2.5200000000000005
karnataka,Panambur Beach,12.9530213,74.8011783,"natural landscapes & wildlife, sightseeing & exploration",South,wildlife,"safari,photography,nature",low,winter,4.5,70.0,"Panambur Beach is a wildlife destination in karnataka known for safari,photography,nature. It is ideal for history and cultural lover",2.3000000000000003
karnataka,Fort Bijapur,16.8299689,75.7363025,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",medium,winter,4.3,86.0,"Fort Bijapur is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.58
karnataka,Jamiya Masjid,16.8222732,75.7287785,"cultural & heritage sites, religious & spiritual pilgrimages",South,heritage,"culture,forts,shopping,history",low,winter,4.2,88.0,"Jamiya Masjid is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.6
karnataka,Shivgiri Temple,16.817515,75.7563529,religious & spiritual pilgrimages,South,religious,"temple,spiritual,peace",low,all,4.5,53.0,"Shivgiri Temple is a religious destination in karnataka known for temple,spiritual,peace. It is ideal for spiritual seekers",1.96
karnataka,Bara Kaman,16.8303151,75.7182706,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",low,winter,4.2,50.0,"Bara Kaman is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers",1.84
karnataka,Gol Gumbaz museum,16.8288232,75.735884,"cultural & heritage sites, arts, science & literature attractions",South,heritage,"culture,forts,shopping,history",low,winter,4.5,87.0,"Gol Gumbaz museum is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.64
karnataka,Gol Gumbaz,16.8302623,75.7361152,cultural & heritage sites,South,heritage,"culture,forts,shopping,history",low,winter,4.5,50.0,"Gol Gumbaz is a heritage destination in karnataka known for culture,forts,shopping,history. It is ideal for history and culture lovers",1.9
maharashtra,Phoenix Marketcity Pune,18.562254,73.9166943,shopping & markets,West,city,"exploration,local experience",low,All,4.5,78.0,"Phoenix Marketcity Pune is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists",2.46
maharashtra,Chatushrungi Devi Temple,18.5393061,73.8290409,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.6,87.0,"Chatushrungi Devi Temple is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers",2.66
maharashtra,Pune-Okayama Friendship Garden,18.4913813,73.8367603,sightseeing & exploration,West,city,"exploration,local experience",low,All,4.5,92.0,"Pune-Okayama Friendship Garden is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists",2.74
maharashtra,Raja Dinkar Kelkar Museum,18.5106855,73.8544307,"arts, science & literature attractions",West,city,"exploration,local experience",high,All,4.4,77.0,"Raja Dinkar Kelkar Museum is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists",4.42
maharashtra,Sinhagad Fort,18.366277,73.7558777,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.6,87.0,"Sinhagad Fort is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.66
maharashtra,Rajiv Gandhi zoo,18.4524807,73.8607977,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.1,83.0,"Rajiv Gandhi zoo is a wildlife destination in maharashtra known for safari,photography,nature. It is ideal for history and cultural lover",2.48
maharashtra, Dagadusheth Halwai Ganapati temple,18.5164297,73.8561329,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.8,94.0," Dagadusheth Halwai Ganapati temple is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers",2.84
maharashtra,Shaniwar Wada,18.5194647,73.8553175,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",medium,winter,4.4,68.0,"Shaniwar Wada is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.24
maharashtra,Prozone Mall,11.0547682,76.9941106,shopping & markets,West,city,"exploration,local experience",low,All,4.3,54.0,"Prozone Mall is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists",1.94
maharashtra,Bibi ka Maqbara ,19.9006246,75.319353,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.2,80.0,"Bibi ka Maqbara  is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.4400000000000004
maharashtra,Ellora Caves,20.0267844,75.1770869,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.7,59.0,"Ellora Caves is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.12
maharashtra,Daulatabad Fort,19.946133,75.221652,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.8,51.0,"Daulatabad Fort is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers",1.98
maharashtra,Ajanta Caves,20.5514444,75.7018913,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.6,80.0,"Ajanta Caves is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.52
maharashtra,Trimbakeshwar Jyotirling Mandir,19.9322605,73.5307877,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.6,57.0,"Trimbakeshwar Jyotirling Mandir is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers",2.06
maharashtra,Pandav Leni caves,19.9412114,73.748555,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.6,61.0,"Pandav Leni caves is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.1399999999999997
maharashtra,Water Sports in Alibaug,18.6583989,72.8773346,adventure & outdoor activities,West,adventure,"trekking,rafting,paragliding",low,summer,4.9,77.0,"Water Sports in Alibaug is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover",10.52
maharashtra,Kolaba Fort,18.6342019,72.8644532,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.2,90.0,"Kolaba Fort is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.64
maharashtra,Alibaug Beach,18.6391422,72.8720214,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.2,63.0,"Alibaug Beach is a wildlife destination in maharashtra known for safari,photography,nature. It is ideal for history and cultural lover",2.1
maharashtra,Jaigad Fort,17.300493,73.221612,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.1,71.0,"Jaigad Fort is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.2399999999999998
maharashtra,Tilak Ali Museum,16.9952987,73.2904689,"arts, science & literature attractions",West,city,"exploration,local experience",low,All,4.6,85.0,"Tilak Ali Museum is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists",2.62
maharashtra,Ganapatipule Temple,17.1449566,73.2662143,religious & spiritual pilgrimages,West,religious,"temple,spiritual,peace",low,all,4.7,69.0,"Ganapatipule Temple is a religious destination in maharashtra known for temple,spiritual,peace. It is ideal for spiritual seekers",2.3200000000000003
maharashtra,Umred Karhandla Wildlife Sanctuary,20.8286613,79.5932651,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",medium,winter,4.2,88.0,"Umred Karhandla Wildlife Sanctuary is a wildlife destination in maharashtra known for safari,photography,nature. It is ideal for history and cultural lover",2.6
maharashtra,Tadoba Andhari Tiger Project,20.2717885,79.3875706,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.5,84.0,"Tadoba Andhari Tiger Project is a wildlife destination in maharashtra known for safari,photography,nature. It is ideal for history and cultural lover",2.58
maharashtra,Khindsi Lake water sports,21.404032,79.3634517,adventure & outdoor activities,West,adventure,"trekking,rafting,paragliding",low,summer,4.0,62.0,"Khindsi Lake water sports is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover",10.040000000000001
maharashtra,Khindsi Lake,21.404032,79.3634517,natural landscapes & wildlife,West,wildlife,"safari,photography,nature",low,winter,4.0,75.0,"Khindsi Lake is a wildlife destination in maharashtra known for safari,photography,nature. It is ideal for history and cultural lover",2.3
maharashtra,Ambazari Lake & Garden,21.1292572,79.0489685,"natural landscapes & wildlife, sightseeing & exploration",West,wildlife,"safari,photography,nature",low,winter,4.0,85.0,"Ambazari Lake & Garden is a wildlife destination in maharashtra known for safari,photography,nature. It is ideal for history and cultural lover",2.5
maharashtra,Raman Science Centre,21.1459008,79.0941262,"arts, science & literature attractions",West,city,"exploration,local experience",low,All,4.5,86.0,"Raman Science Centre is a city destination in maharashtra known for exploration,local experience. It is ideal for explorers and tourists",2.62
maharashtra,Krazy Castle Aqua Park,21.1282952,79.0462212,adventure & outdoor activities,West,adventure,"trekking,rafting,paragliding",high,summer,4.0,66.0,"Krazy Castle Aqua Park is a adventure destination in maharashtra known for trekking,rafting,paragliding. It is ideal for adventure lover",12.120000000000001
maharashtra,Deekshabhoomi,21.128056,79.066944,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.5,86.0,"Deekshabhoomi is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.62
maharashtra,Chhatrapati Shahu Palace,16.7193627,74.231735,cultural & heritage sites,West,heritage,"culture,forts,shopping,history",low,winter,4.5,61.0,"Chhatrapati Shahu Palace is a heritage destination in maharashtra known for culture,forts,shopping,history. It is ideal for history and culture lovers",2.12
